Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Chad,TCD,18.52973175,18.10240364,21.80274582,20.31083298,29.64234352,22.861166,15.92233944,16.78931427,13.25412083,15.68053341,16.01258087,15.53446674,19.0500679,23.56769753,27.01590347,21.08444023,16.72926521,13.54253578,13.43343544,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Chile,CHL,240.58001709,259.32989502,281.86523438,304.07952881,321.73327637,330.41244507,393.13635254,442.12142944,484.13131714,545.92218018,579.59399414,649.61981201,723.84637451,796.0088501,849.23205566,904.49853516,967.909729,1105.45336914,1172.16772461,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,China,CHN,28.32444763,30.66697693,38.60229111,48.50505829,56.42943573,68.21763611,79.7855835,96.29318237,128.92378235,175.08731079,197.91519165,234.06185913,281.54162598,326.11190796,368.86383057,422.43365479,441.09802246,474.79382324,527.60229492,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Colombia,COL,263.09457397,287.79943848,291.17431641,318.00048828,325.25961304,363.65591431,413.78256226,450.14559937,484.43737793,541.03326416,549.02941895,581.48162842,576.76287842,632.38079834,688.95306396,746.37280273,755.22192383,791.46459961,827.43884277,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Comoros,COM,17.42397499,13.84443283,20.59205055,19.02716637,17.71325111,16.63012505,15.98129463,14.7275095,12.63017082,11.17561817,11.06088352,24.48425674,12.93245125,14.8139143,14.7527113,20.26041603,18.44563675,14.51210117,12.42846012,..,..
"Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,""Congo, Dem. Rep."",COD,0.28182587,0.470375,0.46814275,1.0746069,0.92583233,1.14949703,1.25363564,1.4228766,1.78765547,1.91487849,2.56235266,2.41590667,3.83433223,3.82953429,4.56898308,5.74055386,4.78896713,3.67564726,4.6314168,..,.."
"Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,""Congo, Rep."",COG,21.3018055,39.77746201,18.64680672,21.58966255,19.20909309,20.46792603,26.58242798,27.47830009,50.15278625,30.46929169,47.25301361,37.79470062,58.46713257,67.66201782,71.90274048,94.68057251,78.96425629,69.11463165,46.07588577,..,.."
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Costa Rica,CRI,333.33609009,344.69314575,385.20266724,405.71343994,405.37411499,416.94210815,488.86123657,541.39331055,623.8260498,676.44519043,741.89038086,767.37988281,785.41162109,807.02532959,843.42858887,887.9005127,899.20281982,914.5657959,967.56591797,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Cote d'Ivoire,CIV,19.2967205,16.74430084,17.43343544,16.27185631,17.9948082,17.46193314,18.84297371,20.31624222,21.29996872,23.98698044,21.26665115,20.22837639,28.33866501,29.88216019,34.51507187,37.3093605,42.29481506,49.7015419,50.79077911,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Croatia,HRV,689.70922852,687.62701416,619.56237793,700.23547363,761.93640137,898.13409424,1029.30383301,1247.5,1344.9152832,1352.89196777,1333.4083252,1321.96606445,1359.20117188,1207.83935547,1239.72241211,1291.10583496,1380.15222168,1469.22363281,1561.09448242,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Cuba,CUB,458.5859375,519.0914917,572.63690186,602.0324707,599.00567627,907.59686279,1105.39807129,1660.47973633,1796.62792969,2012.60974121,1853.29174805,1931.53662109,1637.10583496,1952.67211914,2442.62792969,2872.83544922,2234.4765625,2251.86816406,2239.78491211,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Cyprus,CYP,466.58282471,513.76873779,590.47418213,604.62139893,582.58087158,630.53887939,708.22161865,768.85754395,883.25195313,944.88891602,1008.99932861,1031.94543457,960.25720215,956.68878174,883.46899414,908.78112793,967.58312988,1027.53283691,1123.48657227,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Czech Republic,CZE,819.30932617,902.45465088,992.64508057,1114.03051758,1163.67028809,1195.50036621,1261.41491699,1322.68151855,1440.01428223,1671.17370605,1595.28381348,1683.05773926,1706.48168945,1984.65209961,2041.27868652,2008.12097168,2064.82519531,2250.86083984,2514.62426758,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Denmark,DNK,1934.42175293,2078.86645508,2237.81811523,2303.10229492,2479.75390625,2603.64404297,2872.69628906,3049.64746094,3309.46508789,3647.22583008,3738.47338867,3776.24023438,3861.07421875,4012.8215332,4113.96435547,4241.45605469,4451.23779297,4696.44824219,4860.25732422,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Djibouti,DJI,33.84526443,30.57993698,32.34508133,39.0786972,38.8470726,39.51908493,51.96579742,55.57717896,62.42087173,65.55770111,66.36086273,82.56111908,76.48327637,76.79556274,80.32205963,82.47451782,68.45281982,62.42267227,66.85728455,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Dominica,DMA,219.97554016,172.01893616,158.52230835,191.1897583,191.57443237,216.24565125,224.89878845,229.44639587,259.7449646,264.40231323,297.89120483,323.03640747,359.44448853,341.08178711,355.09359741,353.15328979,374.29196167,402.70855713,460.32250977,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Dominican Republic,DOM,112.82156372,115.90007019,119.54560852,81.78528595,84.05818176,113.57660675,126.84719849,166.00546265,217.10003662,239.61376953,280.14761353,315.59490967,331.08441162,351.02056885,335.24954224,344.67630005,413.54602051,439.10336304,450.82589722,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Ecuador,ECU,56.2628212,76.6918869,89.69995117,108.93305206,123.64060211,128.20993042,146.47991943,185.53633118,202.69285583,234.74177551,290.95922852,368.40264893,438.1725769,483.99575806,510.88696289,484.84484863,475.43725586,501.6340332,496.41848755,..,..
"Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,""Egypt, Arab Rep."",EGY,108.75775909,120.46247101,126.35579681,114.48246765,113.77420807,121.14730072,143.78756714,139.71801758,146.83666992,151.86135864,141.13848877,154.78469849,137.56944275,148.80509949,157.3800354,182.3868866,186.99702454,204.85987854,176.44493103,..,.."
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,El Salvador,SLV,176.10426331,175.33598328,187.81784058,187.75671387,199.90711975,222.87918091,256.04718018,242.73139954,251.94215393,249.42471313,273.38354492,316.05255127,305.95040894,339.28640747,345.75769043,365.68759155,382.40261841,367.32601929,378.21661377,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Equatorial Guinea,GNQ,30.67338371,30.29961777,29.36553383,45.87846375,76.24700928,58.14115524,78.22355652,98.0517807,115.51778412,222.37400818,151.06140137,140.20068359,191.7441864,146.02380371,157.96549988,164.05827332,182.1783905,143.52409363,138.37895203,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Eritrea,ERI,26.57183647,24.88233757,29.47935295,21.95371628,20.43601608,11.37408257,10.7842207,16.23994064,15.93741417,12.29700279,14.50445366,13.62065029,14.08925629,12.49685574,11.02139759,12.05144787,10.62977695,12.53245449,11.47636986,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Estonia,EST,368.95928955,384.7618103,416.81231689,483.57427979,548.39349365,620.515625,686.20458984,828.0368042,993.11419678,1034.32348633,1012.99230957,1069.89428711,1152.4621582,1245.05114746,1334.35864258,1406.4786377,1515.58398438,1639.53308105,1786.10778809,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Eswatini,SWZ,118.26268768,119.81293488,128.39343262,162.97544861,179.18045044,234.79998779,242.340271,280.25024414,339.37014771,345.42260742,341.35345459,302.31567383,304.831604,311.63500977,262.10806274,288.15396118,281.4586792,359.42483521,228.68084717,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Ethiopia,ETH,8.89078522,10.71354485,11.08517742,11.74260044,7.75932598,11.33977413,8.16000748,10.81129932,4.58203459,8.61250973,9.93799114,4.42766714,13.33664513,15.04036903,10.67995262,15.65609646,15.71598625,16.34249878,15.57280636,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Fiji,FJI,151.40742493,124.70532227,137.71875,142.92472839,153.82351685,173.29428101,184.8495636,185.77644348,169.56225586,165.43847656,170.33572388,153.96321106,160.84963989,167.52458191,183.51896667,196.67857361,202.68193054,218.02537537,254.42773438,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Finland,FIN,1435.91320801,1533.08068848,1672.05603027,1776.22363281,1950.31445313,2061.87695313,2240.10766602,2398.20751953,2633.17260742,2749.99682617,2797.85473633,2986.57080078,3126.27905273,3232.92211914,3249.40991211,3220.25024414,3278.07763672,3385.66796875,3501.41235352,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,France,FRA,1830.42407227,1954.12585449,2099.87304688,2073.71850586,2158.05541992,2274.78125,2417.51928711,2519.26782227,2621.36865234,2787.51367188,2861.85449219,2962.20117188,3015.06762695,3204.38232422,3287.49316406,3396.4934082,3589.87109375,3745.96411133,3852.31958008,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Gabon,GAB,160.66386414,182.55380249,171.56062317,208.64172363,199.25437927,157.27566528,176.20158386,191.79170227,157.91299438,225.23448181,238.98434448,253.86976624,245.21385193,312.03543091,266.15209961,278.96359253,358.67941284,312.5821228,287.62417603,..,..
"Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,""Gambia, The"",GMB,14.72480392,17.70569992,15.73858261,20.2666893,16.5945034,16.94430161,18.2371788,14.95109463,16.22545624,21.0326252,22.17576408,22.93842888,27.58455276,25.89410019,25.43551064,23.7241745,28.92321968,26.15071678,24.72364616,..,.."
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Georgia,GEO,23.13307571,34.78740692,37.16406631,43.183918,48.33634949,56.08584213,62.46498108,66.98480988,98.76743317,128.76467896,127.65317535,101.85903168,123.85366821,155.56187439,195.03837585,246.41279602,285.07232666,273.38110352,314.07565308,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Germany,DEU,2104.82275391,2203.44165039,2313.85131836,2405.59106445,2410.19482422,2480.08935547,2611.81176758,2737.42871094,2913.64477539,3126.96459961,3270.84643555,3459.25756836,3551.94116211,3785.02368164,3998.9152832,4121.15234375,4306.25390625,4608.75341797,4737.33056641,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Ghana,GHA,31.53026199,44.81584167,30.46554947,37.4945755,34.65870667,75.03510284,49.66170883,56.32114029,64.01332855,81.27243805,94.55506134,108.19171906,97.96086884,73.30295563,57.62107849,65.57611847,54.90924454,48.46112823,65.33228302,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Greece,GRC,873.72589111,1060.96691895,1127.23217773,1208.71179199,1208.65234375,1334.76416016,1453.16394043,1559.79394531,1782.36621094,1953.70166016,1846.04736328,1548.05273438,1408.74353027,1320.24682617,1196.80957031,1222.10876465,1166.96984863,1184.70275879,1215.32409668,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Grenada,GRD,141.18431091,162.65591431,214.85365295,190.27601624,232.31712341,252.41725159,210.15905762,224.51016235,225.24491882,233.55026245,221.92614746,266.69442749,263.90576172,260.5296936,260.0491333,256.98617554,244.41323853,276.3527832,265.01519775,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Guatemala,GTM,86.81958008,103.13411713,104.35935974,111.5366745,113.2776947,108.84430695,126.87072754,128.59490967,137.69607544,146.89671326,136.11613464,135.832901,141.10691833,158.35229492,166.52297974,173.03733826,175.07023621,170.19366455,173.90835571,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Guinea,GIN,4.9090724,6.25657558,11.45598316,7.7402668,4.55907297,5.70936537,3.60866952,3.75094295,4.35950136,4.09802628,5.92521858,8.7857933,9.04229069,9.1866188,11.86743164,8.52763367,14.38522339,16.90672493,17.95958328,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Guinea-Bissau,GNB,38.24285126,35.62999725,22.4940815,30.22532463,42.12313461,36.80718231,34.50927353,36.79327774,33.61373901,39.90723419,17.08738136,7.87376261,8.49371243,9.34257507,10.74759483,10.3491621,9.56241512,10.28994083,11.28578281,..,..
Domestic general government health expenditure per capita, PPP (current international $),SH.XPD.GHED.PP.CD,Guyana,GUY,137.98219299,132.62216187,147.08227539,148.25946045,152.60890198,155.83604431,98.11222839,107.86236572,114.70806122,128.58592224,131.95953369,159.94854736,166.4503479,182.6651001,213.02545166,238.68681335,254.76751709,304.66946411,317.35702515,..,..
